"lfp","k5","k618","age","wc","hc","lwg","inc"
"yes",1,0,32,"no","no",1.2101647,10.9100008
"yes",0,2,30,"no","no",0.3285041,19.5
"yes",1,3,35,"no","no",1.5141279,12.039999
"yes",0,3,34,"no","no",0.0921151,6.8000002
"yes",1,2,31,"yes","no",1.5242802,20.1000004
"yes",0,0,54,"no","no",1.5564855,9.8590002
"yes",0,2,37,"yes","no",2.1202636,9.1520004
"yes",0,0,54,"no","no",2.0596387,10.9000006
"yes",0,2,48,"no","no",0.7543364,17.3050003
"yes",0,2,39,"no","no",1.5448993,12.9250002
"yes",0,1,33,"no","no",1.4019157,24.3000011
"yes",0,1,42,"no","yes",1.5242802,19.6999989
"yes",1,2,30,"no","yes",0.733969,15
"yes",0,2,43,"no","no",0.8183691,14.6000004
"yes",0,1,43,"no","yes",1.3028187,24.6310005
"yes",0,3,35,"no","no",0.2980447,17.5310001
"yes",0,2,43,"no","no",1.1676053,14.0999994
"yes",0,5,39,"no","no",1.6438394,15.8389997
"yes",0,0,45,"no","no",0.6931472,14.1000004
"yes",0,4,35,"no","no",2.0219276,10.3000002
"yes",0,2,42,"yes","yes",1.2542453,22.6549988
"yes",0,0,30,"no","no",1.2729658,8.0899992
"yes",0,0,48,"yes","yes",1.178655,17.4790001
"yes",0,0,45,"no","yes",1.178655,9.5600004
"yes",1,1,31,"no","no",0.7675475,8.2749996
"yes",0,2,43,"yes","yes",1.3318062,27.3500004
"yes",0,0,59,"no","yes",1.3862944,16
"yes",0,3,32,"no","yes",1.5532677,17
"yes",1,0,31,"yes","yes",1.98182,15.0999994
"yes",0,0,42,"no","no",1.7693523,15.6999998
"yes",0,0,50,"no","no",0.4307832,5.1189995
"yes",0,0,59,"yes","yes",0.8997613,16.75
"yes",0,2,36,"yes","yes",1.7666236,13.5999994
"yes",0,1,51,"no","no",1.2729658,17.0999985
"yes",0,3,45,"yes","yes",1.3367952,16.7339993
"yes",0,1,42,"no","no",0.9016919,14.1970005
"yes",0,0,46,"no","yes",0.8651225,10.3199997
"yes",0,1,46,"no","no",1.5118575,11.3840008
"yes",0,0,51,"yes","no",1.7260362,14.5939999
"yes",0,0,30,"yes","yes",2.6831658,17.4999962
"yes",1,2,30,"no","yes",0.9852834,15.5100002
"yes",0,0,57,"no","no",1.3659317,22
"yes",1,2,31,"yes","yes",0.9450333,22.5
"yes",0,2,48,"no","no",1.5123762,19.9939995
"yes",0,3,30,"no","no",0.6931472,14.1300001
"yes",0,2,34,"no","no",1.2447947,5
"yes",0,2,48,"yes","yes",0.7011407,21.1549988
"yes",0,0,45,"no","no",1.5198573,7.1419997
"yes",0,0,51,"no","yes",0.8209804,16.6500015
"yes",0,2,30,"no","no",0.9698315,6.3519998
"yes",0,1,46,"no","no",0.8284885,27.3139992
"yes",0,0,58,"no","no",0.0943106,14.5
"yes",0,8,37,"no","no",0.1625193,16.2579994
"yes",0,0,52,"no","no",0.4700036,9.5
"yes",0,0,52,"no","no",0.6292341,7.9999995
"yes",0,0,31,"yes","yes",1.3971641,12.5
"yes",0,0,55,"yes","yes",2.2654455,13.999999
"yes",0,0,34,"yes","yes",2.0845456,20.7999992
"yes",0,0,55,"yes","yes",1.5258496,19.3849983
"yes",0,2,39,"no","no",0.76214,12.3870001
"yes",0,3,40,"yes","yes",1.4816046,28.5
"yes",0,4,43,"no","no",1.2628131,15.0500011
"yes",0,0,48,"no","no",0.9996722,10.500001
"yes",0,0,47,"no","no",1.8325815,11.8100004
"yes",0,4,41,"no","no",2.479322,6.9500017
"yes",0,0,36,"no","no",1.2790111,12.4200001
"yes",0,2,46,"yes","yes",1.937942,17.3999996
"yes",0,0,34,"no","no",1.0704415,15.5
"yes",0,3,41,"no","no",1.1239301,21.217001
"yes",0,1,51,"no","no",1.3217559,18
"yes",0,0,33,"no","yes",1.7449915,11.9000006
"yes",0,0,52,"no","no",1.3017371,26.7519989
"yes",0,0,58,"no","no",1.6418628,12.1499996
"yes",2,4,34,"no","no",2.1070182,10.1999998
"yes",0,1,31,"no","no",1.4670708,8.1199989
"yes",0,1,48,"no","no",1.6058081,10.6599998
"yes",0,2,32,"no","no",-1.0296193,18.1000004
"yes",0,0,49,"yes","yes",1.0876724,8.6000004
"yes",2,2,32,"yes","yes",0,13.665
"yes",0,0,58,"no","yes",0.9381955,32.3499985
"yes",0,0,50,"no","no",-0.1505728,12.085
"yes",0,0,60,"yes","no",0,12.1499996
"yes",0,1,50,"no","no",1.0736742,17.6949997
"yes",0,0,56,"yes","yes",1.2658482,24.7000008
