"","auc","se","ci_lower","ci_upper","p-value"
"SL.mean_All",0.5,0.0377301530420995,0.426050258906301,0.573949741093699,1.60264804929222e-22
"SL.nnet_All",0.5,0.0377301530420995,0.426050258906301,0.573949741093699,1.60264804929222e-22
"nnet2_1_All",0.5,0.0377301530420995,0.426050258906301,0.573949741093699,1.60264804929222e-22
"nnet2_4_All",0.5,0.0377301530420995,0.426050258906301,0.573949741093699,1.60264804929222e-22
"nnet2_16_All",0.5,0.0377301530420995,0.426050258906301,0.573949741093699,1.60264804929222e-22
"nnet2_32_All",0.505120355834642,0.0374855634536152,0.431650001525365,0.578590710143918,3.27852118968351e-22
"SL.knn_All",0.564711888333151,0.0235834123252978,0.518489249543009,0.610934527123293,1.29092272326754e-37
"SL.step_All",0.669177061402975,0.0199002982115975,0.630173193626637,0.708180929179313,2.59994439649517e-23
"SL.lm_All",0.669236813389637,0.0195199551215995,0.630978404371464,0.70749522240781,3.85981701431169e-24
"SL.lda_All",0.669236813389637,0.0195199551215995,0.630978404371464,0.70749522240781,3.85981701431169e-24
"SL.glm_All",0.674919823624142,0.0198719789710152,0.635971460539415,0.713868186708869,3.88948252869749e-22
"SL.gam_All",0.674919823624142,0.0198719789710152,0.635971460539415,0.713868186708869,3.88948252869749e-22
"SL.bayesglm_All",0.67498963568731,0.0198668190188048,0.636051385923077,0.713927885451543,3.92816915859518e-22
"SL.glmnet_All",0.675416783290537,0.0198288281262582,0.636552994307436,0.714280572273638,4.04988917723632e-22
"xgb2_1_All",0.779634855731201,0.0153533190818046,0.749542903287713,0.80972680817469,1.01935156275515e-08
"SL.rpart_All",0.792940239900373,0.0197450408526892,0.75424067095583,0.831639808844916,0.000113308416152528
"SL.polymars_All",0.808142333856619,0.0135755076367897,0.781534827816663,0.834749839896576,1.10146683507169e-05
"SL.earth_All",0.819209716086793,0.0141960135154106,0.791386040872545,0.847033391301042,0.000522397075803119
"SL.xgboost_All",0.827529277662168,0.0136406822973012,0.800794031634905,0.854264523689432,0.00254147453268767
"xgb2_4_All",0.827529277662168,0.0136406822973012,0.800794031634905,0.854264523689432,0.00254147453268767
"xgb2_3_All",0.827800879445398,0.0136574958061708,0.801032679546297,0.8545690793445,0.00273142020346577
"xgb2_2_All",0.829703308872744,0.0134253319917863,0.80339014168835,0.856016476057139,0.0036293581382026
"xgb2_5_All",0.832459404751764,0.013537919375485,0.805925570350206,0.858993239153321,0.00696962906182702
"DiscreteSL",0.863244111001586,0.012609956935967,0.83852904956049,0.887959172442683,0.421339639312596
"SL.randomForest_All",0.86456114944487,0.012422095411638,0.84021428982554,0.888908009064201,0.46198062972253
"SL.ranger_All",0.865328311408046,0.0126523637790278,0.840530134081852,0.890126488734239,0.486807710954299
"SuperLearner",0.865746778138805,0.0120186137303512,0.842190728083218,0.889302828194392,0.5
