"","#","Learner","Mean","SD","Min","Max"
"1",1,"ranger",0.4291,0.26139,0,0.69481
"2",2,"randomForest",0.17829,0.28601,0,0.66449
"3",3,"earth",0.17153,0.08344,0.05571,0.26456
"4",4,"nnet2_4",0.06215,0.11292,0,0.26035
"5",5,"nnet2_1",0.05491,0.07959,0,0.18602
"6",6,"xgboost",0.02415,0.03336,0,0.06659
"7",7,"nnet2_16",0.02325,0.05199,0,0.11625
"8",8,"rpart",0.02137,0.02272,0,0.05457
"9",9,"polymars",0.01458,0.02214,0,0.04998
"10",10,"nnet",0.01439,0.03219,0,0.07197
"11",11,"xgb2_5",0.00367,0.0082,0,0.01833
"12",12,"xgb2_2",0.00261,0.00583,0,0.01304
"13",13,"mean",0,0,0,0
"14",14,"bayesglm",0,0,0,0
"15",15,"knn",0,0,0,0
"16",16,"lm",0,0,0,0
"17",17,"glm",0,0,0,0
"18",18,"glmnet",0,0,0,0
"19",19,"gam",0,0,0,0
"20",20,"step",0,0,0,0
"21",21,"lda",0,0,0,0
"22",22,"xgb2_1",0,0,0,0
"23",23,"xgb2_3",0,0,0,0
"24",24,"xgb2_4",0,0,0,0
"25",25,"nnet2_32",0,0,0,0
